STRING ID,ENGLISH,SIMPLIFIED CHINESE / 简体中文,RUSSIAN / РУССКИЙ,SPANISH / ESPAÑOL,PORTUGUESE / PORTUGUÊS (BR),GERMAN / DEUTSCH,KOREAN / 한국어,JAPANESE / 日本語,FRENCH / FRANÇAIS,POLISH / POLSKI,TRADITIONAL CHINESE / 繁体中文,TURKISH / TÜRKÇE
LANGUAGE_CODE,enUS enGB,zhCN zhSG,ruRU,esES esAR esMX,ptBR,deDE deCH deAT,koKR,jaJP,frFR,plPL,zhTW zhHK zhMO,trTR
LANGUAGE_EN,English,Simplified Chinese,Russian,Spanish,Portuguese (Brazil),German,Korean,Japanese,French,Polish,Traditional Chinese,Turkish
LANGUAGE_DIRECTION,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr
,,,,,,,,,,,,
CONTEXT_CHARACTER_CLASS,Class,角色种类,Класс,Clase,Classe,Klasse,직업,クラス,Classe,Klasa,角色類,Sınıf
CONTEXT_CHARACTER_DELETE,Delete Character,删除角色,Удалить персонажа,Eliminar personaje,Deletar Personagem,Character löschen,캐릭터 지우기,キャラクター削除,Supprimer personnage,Usuń Postać,刪除角色,Karakteri Sil
CONTEXT_CHARACTER_NEW,New Character,创新角色,Новый персонаж,Nuevo personaje,Novo Personagem,Neuer Charakter,캐릭터 만들기,新規キャラクター,Nouveau personnage,Nowa Postać,創新角色,Yeni Karakter
CONTEXT_CLASS_AI,Artificial Intelligence,人工智能,Искусственный интеллект,Inteligencia Artificial,Inteligência Artificial,Künstliche Intelligenz,인공지능,人工知能,Intelligence Artificielle,Sztuczna Inteligencja,人工智能,Yapay Zekâ
CONTEXT_CLASS_ALIEN,Alien,外星人,Пришелец,Alienígena,Extraterrestre,Alien,외계인,エイリアン,Extraterrestre,Kosmita,外星人,Uzaylı
CONTEXT_CLASS_CLONE,Clone,复制,Клон,Clon,Clone,Klon,복제 인간,クローン,Clone,Klon,複製人,Klon
CONTEXT_CLASS_CYBORG,Cyborg,机器人,Киборг,Cyborg,Ciborgue,Cyborg,사이보그,サイボーグ,Cyborg,Cyborg,機器人,Siber
CONTEXT_CLASS_DEITY,Deity,神灵,Божество,Deidad,Divindade,Gottheit,신,神,Divinité,Bóstwo,神靈,Tanrısal Varlık
CONTEXT_CLASS_DEMON,Demon,魔鬼,Демон,Demonio,Demônio,Dämon,악마,悪魔,Démon,Demon,魔鬼,Şeytan
CONTEXT_CLASS_DEMONNESS,Demoness,女魔,Демонесса,Súcubo,Demônia,Teuflin,악마,女悪魔,Démone ,Demon,女魔,Şeytaniçe
CONTEXT_CLASS_DRAGON,Dragon,龙,Дракон,Dragón,Dragão,Drache,드래곤,ドラゴン,Dragon,Smok,龍,Ejderha
CONTEXT_CLASS_DRAGON_PLURAL,Dragons,龙,Драконы,Dragones,Dragões,Drachen,드래곤,ドラゴン,Dragons,Smoki,龍,Ejderhalar
CONTEXT_CLASS_GHOST,Ghost,鬼,Призрак,Fantasma,Fantasma,Geist,유령,幽霊,Fantôme,Duch,鬼,Hayalet
CONTEXT_CLASS_GOD,God,神,Бог,Dios,Deus,Gott,신,神,Dieu,Bóg,神,Tanrı
CONTEXT_CLASS_GOD_PLURAL,Gods,神,Боги,Dioses,Deuses,Götter,신,神々,Dieux,Bogowie,神,Tanrılar
CONTEXT_CLASS_GODDESS,Goddess,女神,Богиня,Diosa,Deusa,Göttin,여신,女神,Déesse,Bogini,女神,Tanrıça
CONTEXT_CLASS_MAGE,Mage,魔法师,Маг,Mago,Mago,Magier,마법사,魔法使い,Mage,Mag,魔法師,Büyücü
CONTEXT_CLASS_MEDIC,Medic,军医,Медик,Médico,Médico,Mediziner,의무관,メディック,Medic,Medyk,軍醫,Doktor
CONTEXT_CLASS_MONSTER,Monster,怪兽,Монстр,Monstruo,Monstro,Monster,괴물,モンスター,Monstre,Potwór,怪獸,Canavar
CONTEXT_CLASS_NINJA,Ninja,忍者,Ниндзя,Ninja,Ninja,Ninja,닌자,忍者,Ninja,Ninja,忍者,Ninja
CONTEXT_CLASS_PIRATE,Pirate,海贼,Пират,Pirata,Pirata,Pirat,해적,海賊,Pirate,Pirat,海賊,Korsan
CONTEXT_CLASS_PRIEST,Priest,祭士,Жрец,Sacerdote,Padre,Priester,사제,僧侶,Prêtre,Kapłan,祭士,Rahip
CONTEXT_CLASS_PRINCE,Prince,王子,Принц,Príncipe,Príncipe,Prinz,왕자,王子,Prince,Książę,王子,Prens
CONTEXT_CLASS_PRINCESS,Princess,公主,Принцесса,Princesa,Princesa,Prinzessin,공주,姫,Princesse,Księżniczka,公主,Prenses
CONTEXT_CLASS_ROBOT,Robot,机器人,Робот,Robot,Robô,Roboter,로봇,ロボット,Robot,Robot,機器人,Robot
CONTEXT_CLASS_SKELETON,Skeleton,尸骨,Скелет,Esqueleto,Esqueleto,Skelett,스켈레톤,スケルトン,Squelette,Szkielet,屍骨,İskelet
CONTEXT_CLASS_SNIPER,Sniper,狙击射手,Снайпер,Francotirador,Franco-atirador,Scharfschütze,저격수,狙撃手,Sniper,Snajper,狙擊手,Keskin Nişancı
CONTEXT_CLASS_SOLDIER,Soldier,战士,Солдат,Soldado,Soldado,Soldat,군인,ソルジャー,Soldat,Żołnierz,戰士,Asker
CONTEXT_CLASS_THIEF,Thief,盗贼,Вор,Ladrón,Ladrão,Dieb,도둑,盗賊,Voleur,Złodziej,盜賊,Hırsız
CONTEXT_CLASS_WARRIOR,Warrior,武士,Воин,Guerrero,Guerreiro,Krieger,전사,戦士,Guerrier,Wojownik,武士,Savaşçı
CONTEXT_CLASS_WIZARD,Wizard,巫师,Колдун,Hechicero,Feiticeiro,Zauberer,마법사,魔術師,Magicier,Czarnoksiężnik,巫師,Sihirbaz
CONTEXT_CLASS_ZOMBIE,Zombie,僵尸,Зомби,Zombi,Zumbi,Zombie,좀비,ゾンビ,Zombie,Zombie,僵尸,Zombi
CONTEXT_CLASS_ZOMBIE_PLURAL,Zombies,僵尸,Зомби,Zombis,Zumbis,Zombies,좀비,ゾンビ,Zombies,Zombie,僵尸,Zombiler
CONTEXT_COMPETITION_FIRST,First place,第一名,1-е место,Primer puesto,Primeiro Lugar,Erster Platz,일등,一位,Première place,Pierwsze miejsce,第一名,Birinci
CONTEXT_COMPETITION_PLACE_NOUN,Place,名次,Место,Puesto,Lugar,Platz,등수,順位,Place,Miejsce,名次,Sıra
CONTEXT_COMPETITION_SECOND,Second place,第二名,2-е место,Segundo puesto,Segundo Lugar,Zweiter Platz,이등,二位,Deuxième place,Drugie miejsce,第二名,İkinci
CONTEXT_COMPETITION_THIRD,Third place,第三名,3-е место,Tercer puesto,Terceiro Lugar,Dritter Platz,삼등,三位,Troisième place,Trzecie miejsce,第三名,Üçüncü
CONTEXT_CONDITION_BURNING,Burning,燃烧,Горящий,En llamas,Queimando,Brennender,화상,炎上,En feu,Popażony,燃燒中,Yanan
CONTEXT_CONDITION_CRITICAL,Critical,瀕死,В критическом состоянии,Crítico,Estado grave,Kritischer,치명상,瀕死,Critique,Krytyczny,瀕死,Kritik
CONTEXT_CONDITION_DEAD,Dead,死亡,Мёртв,Muerto,Morto,Toter,사망,死亡,Mort,Martwy,死亡,Ölü
CONTEXT_CONDITION_FROZEN,Frozen,凍結,Заморожен,Congelado,Congelado,Gefrohrener,동결,凍結,Gelé,Zamrożony,凍結,Donmuş
CONTEXT_CONDITION_POISONED,Poisoned,毒,Отравлен,Envenenado,Envenenado,Vergifteter,중독,毒,Empoisonné,Otruty,中毒,Zehirlenmiş
CONTEXT_CONDITION_SLOWED,Slowed,減速,Замедлен,Ralentizado,Lento,Verlangsamter,감속,減速,Ralenti,Spowolniony,減速,Yavaşlamış
CONTEXT_CONDITION_STUNNED,Stunned,眩晕,Оглушен,Aturdido,Atordoado,Erstarrter,스턴,スタン,Étourdi,Ogłuszony,眩晕,Sersemlemiş
CONTEXT_CONDITION_UNCONSCIOUS,Unconscious,失去知觉,Без сознания,Inconsciente,Desmaiado,Bewusstloser,기절,気絶,Inconscient,Nieprzytomny,失去知覺,Şuursuz
CONTEXT_CONDITION_UNHURT,Unhurt,未受伤,Невредимый,Ileso,Ileso,Unverletzter,정상,無傷,Indemne,Zdrowy,未受傷,Yaralanmamış
CONTEXT_CONDITION_WET,Wet,.湿,Мокрый,Mojado,Molhado,Nasser,젖음,濡れている,Trempé,Przemoczony,.濕,Islak
CONTEXT_CONDITION_WOUNDED,Wounded,受伤,Раненый,Herido,Ferido,Verwundeter,부상,負傷,Blessé,Ranny,受傷,Yaralı
CONTEXT_DESCRIPTION_BIG,Big,大,Большой,Grande,Grande,Groß,대,大,Gros,Duży,大,Büyük
CONTEXT_DESCRIPTION_HUGE,Huge,极大,Огромный,Enorme,Enorme,Riesig,특대,巨大,Énorme,Ogromny,極大,Devasa
CONTEXT_DESCRIPTION_SMALL,Small,小,Маленький,Pequeño,Pequeno,Klein,소,小,Petit,Mały,小,Küçük
CONTEXT_DESCRIPTION_TINY,Tiny,极小,Крошечный,Diminuto,Muito pequeno,Winzig,특소,極小,Minuscule,Malutki,極小,Minik
CONTEXT_ELEMENT_AIR,Air,风,Воздух,Aire,Ar,Luft,공기,風,Air,Powietrze,風,Hava
CONTEXT_ELEMENT_EARTH,Earth,地,Земля,Tierra,Terra,Erde,땅,地,Terre,Ziemia,地,Toprak
CONTEXT_ELEMENT_FIRE,Fire,火,Огонь,Fuego,Fogo,Feuer,불,火,Feu,Ogień,火,Ateş
CONTEXT_ELEMENT_METAL,Metal,金,Металл,Metal,Metal,Metall,쇠,金,Métal,Metal,金,Metal
CONTEXT_ELEMENT_WATER,Water,水,Вода,Agua,Água,Wasser,물,水,Eau,Woda,水,Su
CONTEXT_GAMBLING_BET,Bet,赌,Сбросить,Apostar,Apostar,Wette,베팅하기,ベット,Miser,Zakład,賭,Bahis
CONTEXT_GAMBLING_DISCARD,Discard,抛弃,Отклонить,Descartar,Descartar,Abbrechen,포기하기,捨てる,Défausser,Odrzuć,拋棄,Elden Çıkar
CONTEXT_GAMBLING_JACKPOT,Jackpot,头奖,Джекпот,Premio gordo,Bolada,Höchstgewinn,잭팟,ジャックポット,Jackpot,Jackpot,頭獎,Bingo
CONTEXT_GAMBLING_MAX,Max,最高限度,Макс,Máx.,Máx.,Max,최대,最大,Max,Maksymum,最高限度,Maks.
CONTEXT_GAMBLING_MIN,Min,最少限度,Мин,Mín.,Mín.,Min,최소,最低,Min,Minimum,最低限度,Min.
CONTEXT_ITEM_ARMOR,Armor,护甲,Броня,Armadura,Armadura,Rüstung,갑옷,鎧,Armure,Zbroja,護甲,Zırh
CONTEXT_ITEM_ARROW,Arrow,箭,Стрела,Flecha,Flecha,Pfeil,화살,矢,Flèche,Strzała,箭,Ok
CONTEXT_ITEM_ARROW_PLURAL,Arrows,箭,Стрелы,Flechas,Flechas,Pfeile,화살,矢,Flèches,Strzały,箭,Oklar
CONTEXT_ITEM_BOARD,Board,盘,Доска,Tablero,Tabuleiro,Brett,판,盤,Plateau de jeu,Plansza,遊戲盤,Tahta
CONTEXT_ITEM_BOMB,Bomb,炸弹,Бомба,Bomba,Bomba,Bombe,폭탄,爆弾,Bombe,Bomba,炸彈,Bomba
